0	Who has the highest goals in men's world international football?
1	Who has the highest goals all-time in men's football?
2	Who has the highest goals in women's world international football?
3	Who is the original artist of sound of silence, the song, released in 1964?
4	Who is the original artist of sound of silence, the album?
5	Who is the original artist of sound of silence, the song, released in 2016?
6	When was the first apple i phone released?
7	When was the first apple i phone for beta testing made?
8	When was the first apple i phone 1 made?
9	When was the first apple i phone beta made?
10	Who played  Bill weasley in Harry Potter and the Prisoner of Azkaban?
11	Who played percy weasley in harry potter?
12	Who played fred weasley in harry potter?
13	Who played ron weasley in harry potter?
14	Who played george weasley in harry potter?
15	Who played  Bill weasley in harry potter (2001-2011)?
16	How many state parks are there in virginia in 1936?
17	How many state parks are there in virginia in 2016?
18	How many state parks were there when the state park system formed in Virginia?
19	How many state parks were there in Virginia as of 2016?
20	Who are the teams that performed in competition at the champions league final 2018?
21	Who performed best at the champions league final 2018, winning man of the match?
22	Who performed at the opening ceremony of the champions league final 2018?
23	Who performed the anthem at the champions league final 2018?
24	Which character killed the man in thelma and louise?
25	Which actor killed the man in thelma and louise?
26	Who is the character that kills Harlan in the film Thelma and Louise?
27	Who is the actor of the character that killed a man in the film Thelma and Louise?
28	Who does Charlie Day play on It's Always Sunny in Philadelphia?
29	Who plays Charlie Kelly on It's Always Sunny in Philadelphia?
30	As of 2017, how many times have the lakers won the finals?
31	As of 2016, how many times have the Lakers won the finals?
32	As of 2015, how many times have the Lakers won the finals?
33	How many states plus territories in india are under congress?
34	How many states alone in india are under congress?
35	Who played fruma sarah in the 1971 film, Fiddler on the Roof?
36	Who played Fruma Sarah in the original 1964 Broadway cast of Fiddler on the Roof?
37	Who is the character of Fruma Sarah in Fiddler on the Roof?
38	Who played Fruma Sarah in the 2015-2016 Broadway Revival of Fiddler on the Roof?
39	What date did toronto host the mlb all-star game?
40	Which all-star game did toronto host?
41	What kind of car in to catch a thief in terms of model?
42	What kind of car in to catch a thief in terms of automobile make?
43	When did season 4 of jersey shore first air?
44	When did season 4 of jersey shore last air?
45	When did season 5 of jersey shore first air?
46	When did season 5 of jersey shore last air?
47	When did season 6 of jersey shore first air?
48	When did season 6 of jersey shore last air?
49	What season of Grey's Anatomy was the plane crash involving six doctors?
50	What season of Grey's Anatomy was the plane crash in Seattle that brought memories of a previous plane crash?
51	What season of Grey's Anatomy was the plane crash that claimed the life of Lexie Grey?
52	What season of Grey's Anatomy was the plane crash in downtown Seattle?
53	As per the March 2018-2019 report, what is the number of branches of oriental bank of commerce in india?
54	What is the number of branches of oriental bank of commerce in india after amalgamation of Global Trust Bank?
55	Number of branches of oriental bank of commerce in india after expected merger with United Bank of India in 2020?
56	In what year did the rams go to St. Louis?
57	What was the first game the Rams played in St. Louis?
58	When did the first wave of voortrekkers arrive in south africa?
59	When did the voortrekkers exploratory treks arrive in south africa?
60	Who plays patrick in  the 1999 film 10 things i hate about you?
61	Who plays patrick in the 2009 tv series 10 things i hate about you?
62	Who plays patrick in the film 10 things i hate about you?
63	Who plays patrick in the TV series 10 things i hate about you?
64	Microsoft live movie maker is an example of a freely licensed software, often called free what?
65	Microsoft live movie maker is an example of free software used for what purpose?
66	Who is the 17th Chief Minister of MP?
67	Who is the 16th Chief Minister of MP?
68	Who is the 15th Chief Minister of MP?
69	Who is the 17th chief minister of m. p?
70	Who is the 16th chief minister of m. p?
71	Who is the 15th chief minister of m. p?
72	"Which band sings the 1973 song ""Stuck in the Middle with You""?"
73	"Who sings the lead vocals in the 1973 song ""Stuck in the Middle with You""?"
74	"Who sings harmony in the 1973 song ""Stuck in the Middle with You""?"
75	"Who sings the 2004 song ""Stuck in the  Middle""?"
76	Who sings the theme song for the TV show Stuck in the Middle?
77	How many competitive Grammy Awards does Whitney Houston have?
78	How many Grammy Hall of Fame Awards does Whitney Houston have?
79	How many total Grammy Awards does Whitney Houston have?
80	When was non-commercial amounts of crude oil first discovered in nigeria?
81	When was commerical amounts of crude oil first discovered in nigeria?
82	When was the first Fast and Furious film created?|When was the first movie in The Fast Saga series filmed?
83	When was the first fast and furious film released?|When was the first of the fast and the furious films released?
84	"Who originally sang ""I'm Coming Out""?"
85	"Who sang an official 2003 cover of ""I'm Coming Out""?"
86	When is episode 113 of dragon ball super coming out for its original airdate?
87	When is episode 113 of dragon ball super coming out for its american airdate?
88	When is episode 113 of dragon ball super coming out originally?
89	When is episode 113 of dragon ball super coming out in America?
90	Who is traditionally said to have written 2 Thessalonians?
91	Who do many modern scholars argue wrote 2 Thessalonians?
92	Who do most scholars say wrote 1 Thessalonians?
93	When is fortnite battle royale beta version being released on android for samsung devices exclusively?
94	When is fortnite battle royale beta version being released on android for non-Samsung devices?
95	When is fortnite battle royale being released on android to all without an invite?
96	How many gold medals did Australia win in the 200 Olympics?
97	How many silver medals did Australia win in the 2000 Olympics?
98	How many bronze medals did Australia win in the 2000 Olympics?
99	How many total medals did Australia win in the 2000 Olympics?
100	Who is elected as the vice president of india in 2017?
101	Who is elected as the vice president of india in 2012?
102	Who is elected as the vice president of india in 2007?
103	Who was elected as the Vice President of India in 2017?
104	Who was elected as the Vice President of India in 2007 and 2012?
105	Who was elected as the Vice President of India in 2002?
106	Who was england's prime minister at the start of ww1?
107	Who was england's prime minister at the end of ww1?
