0	International Federation of Football History & Statistics. https://en.wikipedia.org/wiki/International%20Federation%20of%20Football%20History%20%26%20Statistics							
1	"Sounds of Silence is the second studio album by Simon & Garfunkel, released on January 17, 1966. The album's title is a slight modification of the title of the duo's first major hit, ""The Sound of Silence"", which originally was released as ""The Sounds of Silence"". The song had earlier been released in an acoustic version on the album ""Wednesday Morning, 3 A.M."", and later on the soundtrack to the movie ""The Graduate"". Without the knowledge of Paul Simon or Art Garfunkel, electric guitars, bass and drums were overdubbed by Columbia Records staff producer Tom Wilson on June 15, 1965. This new version was released as a single in September 1965, and opens the album."							
2	Going, Going, Gone (Grey's Anatomy). https://en.wikipedia.org/wiki/Going%2C%20Going%2C%20Gone%20%28Grey%27s%20Anatomy%29							
3	The Australian Football League (AFL), known as the Victorian Football League (VFL) until 1990, is the elite national competition in men's Australian rules football.[1]							
4	Two clubs, Carlton and Essendon, have won the most VFL/AFL premierships with sixteen each.[11]							
5	"""Mother India"", its star Nargis, and the director Khan received many awards and nominations. Nargis won the Filmfare Best Actress Award in 1958 and became the first Indian to receive the Best Actress award at the Karlovy Vary International Film Festival in present-day Czech Republic. ""Mother India"" won the Filmfare Award for Best Film and scooped several other Filmfare awards including Best Director for Khan, Best Cinematographer for Faredoon Irani, and Best Sound for R. Kaushik. In 1958, the film became India's first submission for the Academy Award for Best Foreign Language Film and was chosen as one of the five nominations for the category. The international version, 120 minutes long, was sent for the Oscars. Additionally, this version had English subtitles, and dropped Mehboob Productions' logo, which featured the Communist hammer and sickle, to appease the Academy. The 120-minute version was later distributed in the US and UK by Columbia Pictures. The film came close to winning the Academy Award, but lost to Federico Fellini's ""Nights of Cabiria"" by a single vote. Khan was utterly disappointed at not winning the award. ""He had seen the other films in the fray and believed ""Mother India"" was far superior to them"" recalled Sunil Dutt decades later. It also won two awards at the 5th National Film Awards in 1957: an All India Certificate of Merit for Best Feature Film and Certificate of Merit for Best Feature Film in Hindi."							
6	Mother India. https://en.wikipedia.org/wiki/Mother%20India							
7	"The film came close to winning the Academy Award, but lost to Federico Fellini's ""Nights of Cabiria"" by a single vote. "							
8	The international version, 120 minutes long, was sent for the Oscars.							
9	Nights of Cabiria (Italian: Le notti di Cabiria) is a 1957 Italian drama film directed by Federico Fellini and starring Giulietta Masina, François Périer, and Amedeo Nazzari. 							
10	Mother India is a 1957 Indian epic drama film, directed by Mehboob Khan and starring Nargis, Sunil Dutt, Rajendra Kumar, and Raaj Kumar.							
11	It was also nominated for the Academy Award for Best International Feature Film, becoming the first Indian film to be ever nominated.							
12	Federico Fellini, Cavaliere di Gran Croce OMRI (Italian: [fedeˈriːko felˈliːni]; 20 January 1920 – 31 October 1993) was an Italian film director and screenwriter known for his distinctive style, which blends fantasy and baroque images with earthiness.							
13	Grey's Anatomy (season 8). https://en.wikipedia.org/wiki/Grey%27s%20Anatomy%20%28season%208%29							
14	Bellagio's design architect was DeRuyter Butler, and Peter Smith was the project executive. Construction on the Bellagio began in May 1996. Bellagio had an original design and construction cost of US$1.6 billion.							
15	"Bellagio opened on October 15, 1998, just before 11 pm, in a ceremony that was reported to cost US$88 million. The VIPs invited to the grand opening were expected to donate to The Foundation Fighting Blindness US$1,000 a person or US$3,500 a couple, which entitled them to an overnight stay at Bellagio's suite rooms. Opening night's entertainment began with Steve Wynn giving a 40-minute welcome speech followed by the opening of the Cirque du Soleil production ""O"". Performing in Bellagio lounges that night were New York cabaret and recording artist Michael Feinstein, George Bugatti, and John Pizarrelli. When it opened, it was the most expensive hotel ever built."							
16	Bellagio (resort). https://en.wikipedia.org/wiki/Bellagio%20%28resort%29							
17	Bellagio is a resort, luxury hotel and casino on the Las Vegas Strip in Paradise, Nevada.							
18	Bellagio opened on October 15, 1998, just before 11 pm, in a ceremony that was reported to cost US$88 million.							
19	Construction on the Bellagio began in May 1996.							
20	Bellagio was conceived by Steve Wynn, and Atlandia Design (a Mirage Resorts, Inc. wholly owned subsidiary) managed the design, construction and furnishing of the facility, following the purchase and demolition of the legendary Dunes hotel and casino on October 27, 1993, after the grand opening of Treasure Island Las Vegas.							
21	Bellagio is a resort, luxury hotel and casino on the Las Vegas Strip in Paradise, Nevada.							
22	"""Keep Your Head Up"" is the debut single by American recording artist Andy Grammer from his eponymous debut studio album ""Andy Grammer"" (2011). It was written by Grammer and produced by Lion's Share, with additional production by Steve Greenberg. The song was first released February 24, 2011 as the album's lead single. It debuted at number 94 on the ""Billboard"" Hot 100 and since then has reached number 53. The song was RIAA-certified Platinum, for sales of over 1 million downloads, in 2011. It also entered the charts in Australia, Belgium, Canada, the Netherlands and New Zealand. The song was released in the UK on March 12, 2012, but failed to chart."							
23	"""Keep Your Head Up"" is a song by British singer-songwriter Ben Howard from his debut studio album ""Every Kingdom"". It was released as a single in the United Kingdom on 26 August 2011 as a digital download. It reached a peak UK Singles Chart position of 74. The song was written by Ben Howard. The cover art was designed by Owen Tozer. It is a re-recording of the original version found on the ""Games in the Dark EP""."							
24	The eighth season of the American television medical drama Grey's Anatomy, commenced airing on the American Broadcasting Company (ABC) on September 22, 2011, with a special 2-hour episode and ended on May 17, 2012 with the eighth season having a total of 24 episodes. 							
25	"""Keep Your Head Up is the debut single by British girl group Girls Can't Catch. It was written by Chris Braide and Nina Woodford, and produced by Braide. It was released on 30 July 2009, and entered the UK Singles Chart at number 26. The single reached the top 5 in the Scottish Singles Chart, peaking at number 4."							
